CMDLINE python3 WovtServer.py
MEM 45.761719 1514908777.6317
MEM 45.761719 1514908777.7480
MEM 45.761719 1514908777.8572
MEM 45.761719 1514908777.9700
MEM 45.761719 1514908778.0784
MEM 45.761719 1514908778.1931
MEM 45.761719 1514908778.3123
MEM 46.019531 1514908778.4230
MEM 46.019531 1514908778.5383
MEM 46.019531 1514908778.6501
MEM 46.019531 1514908778.7658
MEM 46.019531 1514908778.8801
MEM 46.019531 1514908778.9908
MEM 46.019531 1514908779.1046
MEM 46.019531 1514908779.2180
MEM 46.019531 1514908779.3286
MEM 46.019531 1514908779.4370
MEM 46.019531 1514908779.5473
MEM 46.019531 1514908779.6586
MEM 46.019531 1514908779.7693
MEM 46.019531 1514908779.8836
MEM 46.019531 1514908779.9998
MEM 46.019531 1514908780.1195
